property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price
2 BHK Apartment for Sale in Althan Surat,Carpet Area,900 sqft,Resale,Ready to Move,1 out of 9,Semi-Furnished,East,"An excellent opportunity awaits with this 2 BHK flat for sale in Althan, Surat. Situated in an east-facing orientation and crafted with Vaastu principles in mind, this property boasts freehold ownership rights, ensuring a wise investment choice.Property Specifications Located on the first floor of a nine-floor building, this semi-furnished 2 BHK flat in Surat offers a carpet area of 900 sq ft. It features essential furnishings including wardrobes in both bedrooms, storage units in the kitchen, a TV cabinet, and additional storage in the living room. The kitchen is equipped with a convenient cooking gas pipeline connection.The apartment comprises two bedrooms and two bathrooms, with one attached to the master bedroom and another serving as a common bathroom equipped with both Indian and Western facilities. A balcony attached to the master bedroom overlooks an open plot, providing a serene view. The living and dining areas are separate, offering ample space for relaxation and entertainment. A store room and washing area add to the practicality of the layout, catering to storage and laundry needs. The flooring throughout the flat is done in ceramic tiles, ensuring durability and ease of maintenance.Facilities Key facilities include one covered parking space under an RCC roof, ensuring protection for your vehicle. The property benefits from 24-hour water supply sourced from both borewell and corporation, facilitated by the Surat Municipal Corporation. Electricity supply is uninterrupted, backed up by a generator that powers two lights and one fan during outages. Security is well-maintained with the presence of a security guard and CCTV surveillance, ensuring a safe living environment. Access within the building is facilitated by two lifts.In addition to these amenities, the property offers communal facilities such as a dedicated children's play area and a senior citizen sitting area, enhancing the quality of life for residents.Locality Nestled within a vibrant neighborhood near the BRTS Bus Stand and a stone's throw from the upcoming VIP Road Metro Station, this locality offers unparalleled convenience and connectivity. Residents here enjoy easy access to schools, hospitals, and D mart for all their daily needs. With a bustling network of buses and autos, navigating the area and beyond is effortless. Banking services are conveniently located nearby, ensuring financial ease. The BRTS Bus Stand, just opposite, provides swift access to railway transport, complemented by the upcoming metro station a mere 150 meters away, promising enhanced connectivity for the future.Read more","₹4,333 per sqft ",₹52 Lac 
"2 BHK Apartment for Sale in Shubham Pearl, Palanpur Surat",Carpet Area,975 sqft,Resale,Poss. by Dec '24,9 out of 13,Unfurnished,South -West,2 bhk flate in Gavrav path road Pal palanpore road surat best location locality  best property in investment property best users propertyRead more,"₹3,843 per sqft ",₹49 Lac 
3 BHK Apartment for Sale in Dindoli Surat,Super Area,1511 sqft,New Property,Poss. by Feb '26,5 out of 13,Unfurnished,North - East,120 ft main road touch  corner project only 3 BHK flats aminitiesbanquet halltemplegardengymnasiumchildren play areagajebo sittingJogging trackbasement parkingRead more,"₹2,368 per sqft ",₹35.8 Lac 
"1 BHK Apartment for Sale in Regent Plaza, Dindoli Surat",Carpet Area,546 sqft,Resale,Ready to Move,2 out of 5,Semi-Furnished,East,"1 BHK, Multistorey Apartment is available for Sale in Dindoli, Surat for 22.0 Lac(s)Read more","₹2,597 per sqft ",₹22 Lac 
"2 BHK Apartment for Sale in Sangini Swaraj, Jahangir Pura Surat",Super Area,1050 sqft,Resale,Ready to Move,8 out of 12,Unfurnished,East,"Corner flat, higher floor, city view and fully vast compliant","₹3,714 per sqft ",₹39 Lac 
"2 BHK Apartment for Sale in Govindji Park, Umra Surat",Super Area,1200 sqft,Resale,Ready to Move,4 out of 7,Unfurnished,East,"Unlock a prime investment opportunity with this spacious 2 BHK flat in Govindji Park, Umra, Surat. Featuring freehold ownership rights and boasting a well-maintained status despite its 15 to 20 years of construction age, this property promises enduring value. Don't miss out on this amazing chance to own a piece of tranquility and convenience.Property Specifications This 2 BHK flat is located on the 4th floor of the building in Govindji Park, Umra, Surat. It is unfurnished, featuring vitrified flooring throughout. The flat includes 2 bedrooms and has 1 balcony attached to the master bedroom, offering a serene view of the garden. The kitchen is a normal setup with a granite platform and stainless steel sink, equipped with a piped gas connection. The living room comes unfurnished. There are 2 bathrooms in total, with one attached to the master bedroom and another common one. One bathroom is fashioned in western style while the other is Indian style. Electrical fixtures such as lights and fans are installed.FacilitiesThe flat includes covered parking space. Security services are available, supplemented with CCTV installations.LocalityGovindji Park is surrounded by plenty of shops within the building complex and is conveniently close to NIT Surat. The nearest railway station is approximately 7 km away. The area enjoys excellent public transport connectivity.Read more","₹3,750 per sqft ",₹45 Lac 
1 BHK Apartment for Sale in Ramnagar Surat,Carpet Area,731 sqft,Resale,Ready to Move,2 out of 5,Unfurnished,East,gated security,"₹2,736 per sqft ",₹20 Lac 
"3 BHK Apartment for Sale in Kalpavruksha Garden, Pal Gam Surat",Carpet Area,1600 sqft,Resale,Ready to Move,2 out of 13,Semi-Furnished,Kalpavruksha Garden,"3 BHK, Multistorey Apartment is available for Sale in Pal Gam, Surat for 56.0 Lac(s)Read more",,₹56 Lac 
"3 BHK Apartment for Sale in Gothic Heritage, Pal Gam Surat",Carpet Area,1400 sqft,Resale,Ready to Move,6 out of 13,Semi-Furnished,East,"Beautifully designed, this exquisite 3 BHK flat nestled within the serene ambiance of Gothic Heritage in Pal Gam, Surat, presents a rare opportunity for discerning homebuyers seeking elegance and comfort. Property SpecificationsStep into luxury living with this stunning 3 BHK property boasting a carpet area of 1400 sqft, located on the 6th floor of a prestigious 13-floor tower. Designed to perfection, this semi-furnished abode is meticulously crafted to embrace a harmonious blend of modern comfort and timeless elegance.Embracing the principles of Vaastu, this east-facing gem ensures positive energy flow throughout. The meticulously planned layout features 3 spacious bedrooms, with 2 attached bathrooms and a common bathroom, all elegantly appointed with Western fixtures and equipped with geysers for your convenience. Enjoy the tranquility of the outdoors from the comfort of your own balcony, attached to one of the bedrooms, offering serene views of the lush garden and the bustling road below.The living and dining areas are thoughtfully separated, providing ample space for relaxation and entertainment. The modular kitchen is a chef's delight, complete with a piped gas connection, utility area, and sleek vitrified flooring adding a touch of sophistication to the space.FacilitiesThis property also offers the added convenience of covered parking, ensuring your vehicle stays safe and protected. Additionally, residents can enjoy uninterrupted living with 24-hour water supply and the assurance of 100% power backup. Security is paramount with a dedicated security guard and CCTV surveillance installed throughout the premises. Plus, the building features two lifts for easy access to every floor, making everyday living effortlessly convenient.LocalityConveniently located near Times Square Circle and Monarch Shopping Mall, this property enjoys easy access to essential amenities. Schools and hospitals are in close proximity, ensuring education and healthcare needs are easily met. Public transport is readily available, and residents have easy access to banks and ATMs for financial convenience. The railway station is 10km away, making travel hassle-free for commuters.Read more","₹3,735 per sqft ",₹62 Lac 
2 BHK Builder Floor for Sale in Amroli Surat,Carpet Area,950 sqft,Resale,Ready to Move,5 out of 5,Unfurnished,West,Flat for sale in Amroli Surat. Prime location. Near by Mansarovar Shopping center.Read more,"₹2,829 per sqft ",₹29 Lac 
"1 BHK Apartment for Sale in Orchid Blossom, Palanpur Surat",Super Area,650 sqft,Resale,Ready to Move,4 out of 5,Unfurnished,East,this is 2 bhk fully furnished flat for rent.,"₹4,462 per sqft ",₹29 Lac 
2 BHK Apartment for Sale in Palanpur Gam Surat,Carpet Area,700 sqft,Unfurnished,Ready to Move,New Property,East,Main Road,They provide 2BHK apartments with all necessities.Towers  2Floors 13Read more,"₹4,300 per sqft ",₹52 Lac 
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1250 sqft,New Property,Ready to Move,7 out of 14,Unfurnished,South -West,Project on 150 ft road.good location2 and 3 bhk flats available2 bhk 1250 sq ft3 bhk 1598 sq ftlowest rate in areaRead more,"₹3,325 per sqft ",₹41.6 Lac 
2 BHK Apartment for Sale in Althan Surat,Super Area,1168 sqft,New Property,Ready to Move,5 out of 12,Unfurnished,East,"he beautifully designed granite flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to mall, , and close to school. Many of the modern amenities being offered, like swimming pool, cctv surveillance, club house  community center, fitness centre  gym, park, lifts, maintenance staff and visitor parking, will provide a pleasant living experience for you. This residential project ensures a 247 water supply for its residents.Read more","₹3,682 per sqft ",₹43 Lac 
"2 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",Super Area,1252 sqft,Resale,Ready to Move,5 out of 15,Unfurnished,South - East,2bhk flat available at ready possession and  very Reasonable pricefor more details please call meRead more,"₹3,514 per sqft ",₹44 Lac 
2 BHK Apartment for Sale in Bhesan Gam Surat,Super Area,1155 sqft,Resale,Ready to Move,7 out of 13,Unfurnished,North - East,"2 bhk flat for sell, It is a superb property and offers an excellent view. The flat is semi furnished with multiple amenities and promises a comfortable stay. Indeed, the society too has for enjoyment, such as club housecommunity center, fitness centregym, and security personnel etc, Other facilities include intercom facility, lift and park etc.Read more","₹3,290 per sqft ",₹38 Lac 
"2 BHK Apartment for Sale in Shubham Residency, Pal Surat",Super Area,1300 sqft,Resale,Ready to Move,5 out of 13,Furnished,East,2 BHK Fully Furnished Flat For Sell In Pal with All Aminities.,"₹3,846 per sqft ",₹50 Lac 
2 BHK Apartment for Sale in Althan Surat,Super Area,1278 sqft,New Property,Poss. by Jan '26,6 out of 14,Unfurnished,South -West,2 And 3 BHK Luxurious Flat for Sell In New Althan Area With All Aminities .Read more,"₹3,551 per sqft ",₹45.4 Lac 
"2 BHK Apartment for Sale in Swagat Callista, Bamroli Surat",Super Area,1240 sqft,New Property,Ready to Move,9 out of 14,Unfurnished,South - East,Luxurious Flat For Sell With All Luxurious Aminities .More Details Please Contact.Read more,"₹3,629 per sqft ",₹45 Lac 
"2 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",Super Area,1311 sqft,New Property,Poss. by May '26,9 out of 13,Unfurnished,South -West,2 And 3 BHK Luxurious Flat For Sell In Pal With All Aminities,"₹4,251 per sqft ",₹55.7 Lac 
"3 BHK Apartment for Sale in Kakadia Complex, Ghod Dod Road Surat",Super Area,1800 sqft,Resale,Ready to Move,8 out of 12,Unfurnished,East,"3 bhk residential apartment available for sale with very reasonable rate at ghod dod road , kakadiya complex is the best option for living, spacious flat , premium locality  , prime location heart of the city ghod dod road near by school , collage , vegetable market , dairy product , auto stand , city bus stand , etc. One time visit society  flatRead more","₹3,333 per sqft ",₹60 Lac 
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,665 sqft,Resale,Poss. by Jun '25,4 out of 13,Unfurnished,South -West,fastest Develop area in surat. Best construction quality. Main entry gate house.Read more,"₹4,257 per sqft ",₹51.5 Lac 
"2 BHK Apartment for Sale in Parishram Park, Jahangirabad Surat",Carpet Area,800 sqft,Resale,Ready to Move,4 out of 5,Unfurnished,East,"2 BHK, Multistorey Apartment is available for Sale in Jahangirabad, Surat for 40.0 Lac(s)Read more","₹3,333 per sqft ",₹40 Lac 
"2 BHK Apartment for Sale in Soham Elegance, Pal Surat",Super Area,1322 sqft,New Property,Poss. by Sep '24,7 out of 13,Unfurnished,East,"2 BHK, Multistorey Apartment is available for Sale in Pal, Surat for 55.0 Lac(s)Read more","₹4,160 per sqft ",₹55 Lac 
2 BHK Apartment for Sale in Bhatar Road Surat,Carpet Area,850 sqft,Resale,Ready to Move,4 out of 7,Furnished,South - East,"Good news for those planning to own a flat in Surat!! Introducing a well-maintained 2 BHK apartment now available for sale on Bhatar Road, Surat. Boasting essential services within a short range, this property is definitely the right choice to lead a hassle-free life with the family. Then, why wait, book this property today!!Property SpecificationsThoughtfully designed, this 2 BHK flat spanning across a carpet area of 850 sqft is levelled on the 4th floor of a 7-storey building. Furnished with wardrobes, beds, AC, lights, and fans, this residence offers a seamless blend of convenience and elegance. Being vaastu compliant is another highlight of this property and the flat faces the southeast direction.Moving to the layout, the flat consists of two bedrooms and 2 western-style bathrooms ( 1 attached, 1 common) equipped with geysers. A balcony attached to one bedroom provides a charming view of the road. Further, the living-cum-dining area, store room, and modular kitchen with a piped gas connection showcase thoughtful design.That is not all, there is a utility area with the kitchen for added convenience and the flooring throughout the flat is adorned with marble.FacilitiesThis property benefits from facilities such as 2 open parking spaces, 24-hour water supply from both borewell and corporation sources, 100% power backup, tight security, CCTV surveillance, and a lift.LocalityLocated near Uma Bhavan, this property is within 1 km of schools, hospitals, and malls/supermarkets, ensuring proximity to essential amenities. Public transport options, including buses and autos, are easily accessible while the railway station is  just 7km away and a metro station is at a convenient 100m distance.Read more",,₹45 Lac 
"3 BHK Apartment for Sale in Sundaram Residency, Bhestan Surat",Super Area,1500 sqft,Sundaram Residency,Ready to Move,Resale,,,"3 BHK, Multistorey Apartment is available for Sale in Bhestan, Surat for 55.0 Lac(s)Read more","₹3,667 per sqft ",₹55 Lac 
"3 BHK Apartment for Sale in Shreepad Ethics, Palanpur Gam Surat",Super Area,1515 sqft,Resale,Ready to Move,3 out of 5,Semi-Furnished,Shreepad Ethics,"Welcome to Shreepad Ethics, Palanpur Gam, Surat, where an attractive 3 BHK flat is available for sale. With a super built-up area of 1515 sqft, this flat is situated on the 3rd floor of a 5-story building, offering a comfortable and luxurious living space.Property specifications and facilitiesDesigned to be vaastu compliant and facing west, this semi-furnished flat ensures positive energy and abundant natural light. Step into this flat and experience the perfect blend of style and functionality. The flat features 3 bedrooms and 3 bathrooms, with 2 bathrooms attached to bedrooms and 1 serving as a common bathroom.There are 2 western-style bathrooms and 1 Indian-style bathroom, with geysers installed in all bathrooms for hot water. Enjoy the luxury of a balcony attached to the master bedroom, overlooking a serene garden view. The flat also offers a separate living and dining area, providing ample space for relaxation and entertainment.Additionally, there is a store room that can be converted into a puja room, catering to your spiritual needs. The modular kitchen comes with a piped gas connection, with a utility area attached for added convenience. Marvel at the vitrified flooring that adds a touch of elegance to the flat.Covered parking is available, ensuring the safety of your vehicle. Water supply is provided from both the borewell and corporation sources. The flat benefits from 100% power backup, ensuring uninterrupted electricity supply. The premises are secured with a security guard and CCTV installations for added safety. Additionally, there is one lift available for easy access to all floors. Enjoy the convenience of all basic amenities within the premises.LocalityShreepad Ethics is located near the Raj World Shopping Center, offering excellent connectivity and proximity to various amenities. Reputed schools, hospitals, malls/supermarkets, and banks/ATMs are within a 1 km radius, catering to your everyday needs. Public transportation options are readily available, with the railway station just 10 km away and an upcoming metro station within 2 km.Don't miss out on this incredible opportunity to own a spacious 3 BHK flat in Shreepad Ethics, Palanpur Gam, Surat. Contact us now to schedule a visit and make this beautiful flat your new home. Your dream residence awaits!Read more","₹3,960 per sqft ",₹60 Lac 
"2 BHK Apartment for Sale in Vaishnodevi Kingswood, Jahangirabad Surat",Carpet Area,800 sqft,New Property,Poss. by Jul '24,5 out of 13,Unfurnished,Garden/Park,"2 BHK, Multistorey Apartment is available for Sale in Jahangirabad, Surat for 38.0 Lac(s)Read more","₹2,868 per sqft ",₹38 Lac 
"2 BHK Apartment for Sale in Atlanta Sky Desk, Bhimrad Surat",Super Area,1173 sqft,Resale,Ready to Move,8 out of 19,Unfurnished,Atlanta Sky Desk,"2 BHK, Multistorey Apartment is available for Sale in Bhimrad, Surat for 56.0 Lac(s)Read more","₹4,774 per sqft ",₹56 Lac 
"2 BHK Apartment for Sale in Rajhans Platinum, Palanpur Surat",Carpet Area,660 sqft,Resale,Ready to Move,4 out of 5,Furnished,East,fully Furnished flat on sell,"₹3,932 per sqft ",₹46 Lac 
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1326 sqft,Resale,Ready to Move,9 out of 14,Unfurnished,East,2 BHK  3 BHK  apartments at palanpur. with all amenities best location for best deal callRead more,"₹3,771 per sqft ",₹50 Lac 
3 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1680 sqft,New Property,Ready to Move,6 out of 13,Unfurnished,East,"3 BHK, Multistorey Apartment is available for Sale in Jahangir Pura, Surat for 59.0 Lac(s)Read more","₹3,512 per sqft ",₹59 Lac 
"2 BHK Apartment for Sale in Swicon Wings, Jahangirabad Surat",Super Area,1170 sqft,Resale,Ready to Move,6 out of 13,Unfurnished,East,Luxurious Flat for Sell In Surat City Prime Area with All Aminities.Read more,"₹3,350 per sqft ",₹39.2 Lac 
"2 BHK Apartment for Sale in Prayosha Shine, Dindoli Surat",Super Area,1120 sqft,Unfurnished,Poss. by Jun '24,New Property,"Garden/Park, Main Road",Prayosha Shine,"Thoughtfully designed. delicately moulded, and ended up as an incredible portrait. Hallmark of valuing creativity and innovation, this time Savani Developers  are presenting Surat inhabitants Prayosha Shine. A domicile, neither seen nor experienced ever before. Turn your lifes chapter into a remarkably altered territory, comprising leisure, Luxury, and life in a real sense.Read more","₹2,600 per sqft ",₹29.1 Lac 
3 BHK Apartment for Sale in Pal Surat,Super Area,1630 sqft,Resale,Ready to Move,2 out of 12,Unfurnished,South -West,3 BHK Levish Flat For Sell With All Aminities.Contact For More Details.Read more,"₹3,129 per sqft ",₹51 Lac 
"2 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",Super Area,1311 sqft,New Property,Poss. by Dec '25,7 out of 13,Unfurnished,East,"2 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 55.73 Lac(s)Read more","₹4,251 per sqft ",₹55.7 Lac 
3 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,80 sqm,Resale,Ready to Move,2 out of 12,Unfurnished,East,"Experience the grandeur of luxurious living in this expansive 3 BHK flat located in the heart of Jahangirabad, Surat. With the advantage of freehold ownership, a construction age of less than 5 years, and offering an exceptional investment opportunity, this property stands as a testament to unmatched sophistication and value.Property Specifications Step into a world of comfort and convenience with this exquisite property boasting a carpet area of 80 sqm. Situated on the 2nd floor of an east-facing building, this ready-to-move-in gem is flooded with natural sunlight and ventilation, creating a refreshing ambience throughout.As you enter, you're greeted by an expansive living area with vitrified tile flooring that adds a touch of elegance to the space. The property features three bedrooms, each designed for optimal comfort and privacy, along with three bathrooms offering modern fixtures and fittings.One of the highlights of this property is its wide and airy balcony, perfect for relaxing evenings or morning coffees with a view. The well-equipped kitchen is a culinary enthusiast's dream, featuring ample storage space and functionality.Facilities In terms of facilities, you'll find an open parking space for one vehicle, ensuring convenience for residents. Water availability is round-the-clock, and the property experiences rare power cuts, ensuring uninterrupted daily life. Additionally, there's a lift available for easy access to the second floor.Locality Jahangirabad in Surat is a vibrant locality known for its blend of urban conveniences and peaceful surroundings. Situated strategically, it offers easy access to key amenities and attractions, making it a sought-after residential destination. This area boasts a well-developed infrastructure with a range of schools, hospitals, and supermarkets within close proximity, catering to the daily needs of residents. Public transport options are readily available, ensuring seamless connectivity to other parts of the city.For those who enjoy leisure and recreation, Jahangirabad offers parks and recreational facilities, providing ample opportunities for relaxation and outdoor activities. The presence of commercial establishments and markets adds to the convenience, making it a self-sufficient locality.Read more",,₹36 Lac 
3 BHK Apartment for Sale in Piplod Surat,Super Area,1050 sqft,Resale,Ready to Move,7 out of 12,Furnished,East,A well located property with market place to get daily house need walking distance and just 2 minutes from main vesu road. Nice 3 bhk apartment ready to move.Read more,"₹5,238 per sqft ",₹55 Lac 
2 BHK Apartment for Sale in Pal Gam Surat,Super Area,1205 sqft,Resale,Ready to Move,4 out of 5,Semi-Furnished,East,"2 BHK, Multistorey Apartment is available for Sale in Pal Gam, Surat for 45.0 Lac(s)Read more","₹3,734 per sqft ",₹45 Lac 
2 BHK Apartment for Sale in Godadara Surat,Carpet Area,688 sqft,New Property,Poss. by Jul '24,7 out of 14,Unfurnished,East,2  3 bhkideally located in the midst of the city.,"₹3,600 per sqft ",₹45 Lac 
"2 BHK Apartment for Sale in Santvan Newon, Palanpur Surat",Super Area,1251 sqft,Resale,Ready to Move,5 out of 13,Semi-Furnished,South -West,2BHK Luxurious Flat For Sell In Palanpur Prime Area with New Construction.for amore details please contact.Read more,"₹4,556 per sqft ",₹57 Lac 
"2 BHK Apartment for Sale in Soham Elegance, Pal Surat",Super Area,1307 sqft,New Property,Ready to Move,7 out of 14,Unfurnished,South -West,2 BHK New Flat for sell in Pal prine Area.,"₹4,250 per sqft ",₹55.6 Lac 
"2 BHK Apartment for Sale in Mahaveer Heights, Vesu Surat",Carpet Area,701 sqft,New Property,Ready to Move,10 out of 13,Unfurnished,East,"Its a 2bhk flat available for sale in Mahaveer Height, vesu, surat.1275 sq. Ft. Super builtUp area and 701 sq. Ft. Carpet area.Rate 59 lac. Call for more details and other options.Read more","₹4,627 per sqft ",₹59 Lac 
2 BHK Apartment for Sale in Citylight Area Surat,Super Area,1354 sqft,Resale,Ready to Move,5 out of 12,Furnished,East,Raj Tilak Resydensi,"₹3,988 per sqft ",₹54 Lac 
2 BHK Apartment for Sale in Pal Surat,Carpet Area,780 sqft,Resale,Ready to Move,6 out of 10,Furnished,East,"Its A Full Furnished Road Side 2 BHK Flat In Prime Locality Of Pal Adajan  Area, The Campus Has All Basic Amenities Like Garden, Childrens Play Area, CCTV, Lift, Generator Backup Etc...Read more","₹3,837 per sqft ",₹48 Lac 
"2 BHK Apartment for Sale in Shagun Residency, Jahangir Pura Surat",Carpet Area,1200 sqft,Resale,Ready to Move,2 out of 14,Unfurnished,East,"2 BHK, Multistorey Apartment is available for Sale in Jahangir Pura, Surat for 35.0 Lac(s)Read more",,₹35 Lac 
2 BHK Apartment for Sale in Althan Surat,Super Area,1305 sqft,New Property,Poss. by Jun '26,4 out of 13,Unfurnished,East,2 bhk budget friendly flats in althan bamroli road,"₹3,851 per sqft ",₹50.3 Lac 
"2 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",Super Area,1311 sqft,New Property,Poss. by Oct '25,5 out of 12,Unfurnished,South -West,"A ray of sun that falls on your couch providing a perfect amount of warmth, The day outside is now having a strom, But look how safe you are surrounded by  these four walls, Where children are giggling and running around, where couple is spending the time of their lives, And where oldies are sipping away stress with some tea.  THATS YOUR AMAYA HOMEWhere life is twirled around comfort.Read more","₹4,250 per sqft ",₹55.7 Lac 
